,댓글,예측,실제
510,와 개더럽네 부모가 중국인인듯,0,1
531,우한폐렴은 우리 문통님이 가장 아끼고 사랑하는 중국이 발원지잖아요 부디 문통은 손소독제 마스크 사용 그만하시고 우한폐렴도 따듯하게 문통품으로 맞아주세요,0,1
539,쓰레기를 대려다 정치를시켜도 빨갱ㅇㅣ문씨보다는 잘하겠다 ㅋㅋㅋㅋ,1,0
541,아프리카도 똥은 저렇게 안닦겠다 으,0,1
547,부디 저 쓰레기들 말무시하시고 꼭 힘내세요 그리고 꼭 저 신천지와뒤에 어떤세력인지 꼭 조사해주십시요 국민생명으로 정치질한 저 악의무리들 꼭 죄값받게 해주세요,1,0
555,둘다 모태 좌파들인데저여자는 전라도 광주출신 신영복을 가장 존경한다는,1,0
564,참답이없네 쩝ㅊ접,1,0
565,애들 트라우마 생길각,0,1
579,어맛 나랑 같은 오피스텔에 사는데 왜 저기만 테라스가잇냐긔 에잇 못쓰게해야겠긔 언냐들 내가 오늘 한남 사는 테라스에 음식물이랑 쓰레기 투척했어 잘했어,0,1
595,ㅏ 이상형 우리액희 개귀여어 하고풍거 삭다해라 매일이론 덕후마음 주접이라 할지라도 내가알게 모야시발 좌로인정 우로인정 압구루기 대굴대굴,1,0
599,이건 ㄹㅇ임틀니 타령해봤자 이건 맞음,0,1
606,상해말고 질병은 국내와 국외 건보 차등 두는게 맞다고 본다,1,0
611,서빙고산다 본인 친구들도 다 이태원 한남 이촌 이렇게 많이들 살지만 지금의 이태원은 개돼지들 유입 때문에 거들떠보지도 않음,1,0
661,각하를 욕하는 사람들 다 죽여버려도 교도소 안가는 법좀 만들어 주십시요,0,1
672,연예인들 자살하는거 아무감정도 없었는데슬프노 이기진짜 11월달은 뭔가있나보네ㅜㅜ,0,1
677,우째 ㅠ 나는,1,0
699,진짜 저샤끼는 태워죽여야지,0,1
704,1000배가자 이런 능력게이들 오래간만이노,0,1
705,철구게이 귀엽 ㅋ애처가에 딸바보일듯 ㅎ,1,0
725,아니 내가 바이든이 대통령이 됬으면 좋겠다고 했냐트럼프가 싫다고 했냐전문용어도 아니고 진행중이라는 일상용어를 굳이 영어로 썼냐고 물어본건데 좆족이 왜 나오냐 ㅋㅋㅋㅋ,1,0
726,이빨썩은 홍어산송장 바퀴벌레 짱개 하이브리드가 흥분했나보군 ㅋㅋㅋ,1,0
728,내눈엔 사람이 아니라 짐승으로 보인다동물도 아니다 짐승이다동물들도 지새끼 잃으면 잘못먹고 슬퍼한다미쳐날뛰고 지 자식 시체팔이하면서 행패부리는 것들은 사람이 아니다짐승새끼다,1,0
729,여대생 젖통 만져서 성추행으로 고소당함,0,1
730,병원이나 교육 문화 직장그걸떠나서 우리나라가 세계에서 이렇게 성장한건 서울몰빵으로 엄청난 시너지를 냈기때문임단점도 존나많지만 이게 현실이야지방은 사실상 동남아보다도 문명이 떨어짐,0,1
732,여기 활명수 두병 나두고 간다식후 한병씩,1,0
744,차라리 안고 타는게 낫지 않음 ㅅㅂ,1,0
754,ㅉ ㅉ 굿바이입럼프좌익들이 이 사람 당선 바라는 것 보니 끝났다 이기,0,1
770,그래도 서울대라는 집단이 고용한 교수인데 ㅅㅂ정말 한그릇 거하게 해먹으려고 저러는 걸까아니면 진심일까아니면 누가 협박하고있나 ㅋㅋ,1,0
771,사과를 하러왔나아님 염탐을 하러왔나왔으면 깨끗하게 남자답게 사과만 하고 가면될일이지저 새끼들 아직 똥인지 된장인지 정신못차렸다절대 합의해주지마라 치졸한인간들,1,0
784,홍위병 선동술 ㅋㅋ,1,0
786,와 생각 존나 짧네 4억이상 상속염려하면서 현금바꿔두는애가 자식한테 그대로 현금 줘서 보존이 될꺼같냐,1,0
793,문재인 대통령님 특수강간범 김학의 저래 그냥 내버려 둘 겁니까 조국 장관은 저래 수모를 당하도록 내버려 두고 특수강간범은 그냥 저래 방치하고 대한민국 언론과 사법부를 장악하고 있는 왜구 똥떵어리들 100년 만행을 그냥 저래 방치할 겁니까 노무현 처럼 또 저 사악한 왜구 똥떵어리들에게 또 역습 당할 겁니까 왜 저놈들이 차곡차곡 역습을 실행하고 있는데 그냥 방치만 하는 겁니까왜 국민들이 부여한 권력을 쥐고만 있고 사용을 안합니까프랑스 우익 드골처럼 대한민국의 진짜 우익 대통령이 되어서 민족반역 왜구 똥떵어리들을 모조리 청소 하세요안 그러면 왜구 똥떵어리들에게 또 반격 당합니다,0,1
795,기레기들 신경쓰지 마시고 홧팅하세요,0,1
804,옮인거 아니라고 븅신아직영과 가맹 구분도 못하노,1,0
823,CIA조심해라이기어느날갑자기 집에서 대량의 마약과함깨 참수된 동양인시체로 뉴스뜰듯,0,1
852,노무쿤 아이돌까지 섭렵한거야 ㅋ,0,1
856,여러 주에서 새벽에 동시다발적으로 발생한 게 그 새끼들이 새벽에 동시에 0 하나 더 입력오류했다는 팩트나 가져와라 어디서 어그로야,1,0
867,신병훈련소라 휴태폰 없음 ㅁㅈㅎ,1,0
898,개씹존잘의 참을성 ㄷㄷ,1,0
905,ㅋㅋㅋㅋㅋ개웃겼네 씨발 ㅋㅋㄲㄲ현대차 주주로써 뿌듯하노ㅋㅋㅋㅋ,1,0
906,꼬우면 너도 해라개 글러먹은 마인드 ㅂㅅㅋㅋ,0,1
908,중국 반도체굴기 백퍼 실패한다 코로나가 기가막힌 타이밍에 터졌음 ㅋ지금 짱개 반도체 업체들 공정 장비 대당 40억짜리를 삼성 tsmc넘으려고 다 건너 뛰고 최신버전으로 사다 죄다 박아서 이제 막 돌리려는 타이밍에 코로나 발발 오존나 망하고 결국 반도체는 평생 한국 댜만이 해먹을듯,0,1
914,경상도 싫으면 왜 경상도 대구에 본사 있는 일베함 언행불일치 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
919,이슬람 무장단체 천안문 폭탄테러 꿀잼,0,1
928,근데 공식적으로 언론에선 저새끼 조선족 절대 아니라고 결론 짓지 않았냐인육 유통에 관한것도 사실무근이라고 하고,1,0
950,그리고 다음으로 흑형이 나타나서 혼내 준거냐,0,1
955,조개터쪽 아니냐,0,1
962,일베들 왜이리 설치냐,0,1
966,ㅋㅋㅋㅋㅋㅋㅋ재인이 욕 존나 처먹는중이네,1,0
970,파바는 빵만 팔면 끝이지 이딴것 존나 해,1,0
978,동무레 짱개 넘들은 죄다 죽여버리라우ㅇㅂ,1,0
980,그림이참 뜻깊내,1,0
984,저 사람 좌파냐,0,1
991,그래야 이런 미친 계획을 자기이름으로 승인해주지 ㅋㅋㅋ제정신 박힌 새끼면 리스크를 생각해서 이런거 승인못하지 ㅋㅋㅋ,1,0
997,보수 유튜브 보면 대부분 그리 생각함 오늘 ㄱ ㅐ 장수 유튜브에서도 이명박 종나 까드라 ㅋㅋㅋ 박근혜 탄핵주도 하고 문재앙 당선에 도와주고 꿀빨다가 깜빵 갔다고 죄로 보면 박근혜보다 훨씬 무겁다고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
1018,역시 보쥐,0,1
1021,나 자지 큰데 av배우나 할까,0,1
1030,이걸 어떻게 혼자서 다 부르냐ㅋㅋㅋㅋ엠씨무현만 가능한줄 알았는데폐활량 ㅆㅅㅌㅊ,0,1
1031,재앙이 처럼마누라도내주고 너의후장도내줘야지,0,1
1032,맨날 논란 생기면 말 바꾸기나 하고 창피하지 않냐 초딩 새끼도 아니고 ㅉㅉ,1,0
1046,개똥같은 현기차 좀 고쳐주지,1,0
1079,니가 맛없는걸 쳐먹었나보지ㅋㅋ애들 존나 잘 쳐먹는다해외생활 11년차 현직이다,1,0
1084,진짜 무서운건 바이든도 분명 섹스테이프가 있다는거고 그걸 시진핑이 갖고 있겠지 바이든 대통령 되면 진짜 미국은 중국 시진핑이 시키는 대로 할거 같네,0,1
1089,자유민주주의가 공산주의를 못 이기는 이유그놈의 인권존중때문임,1,0
1092,그냥 한국인은 머리검은 미국인 수준밖에 안된다는 증거야여기 일베만 해도 99이상이 페미보빨러잖아,0,1
1099,신랑 입장에선 불쾌하겠노나같아도 언짢은데,1,0
1101,고맙다 이기야,1,0
1113,생각해보니 대정령이랑 김계란이랑 말투 목소리가 존나 비슷한것 같다,0,1
1114,문재앙을 뽑은 조선인들은,1,0
1117,부진찡 존예임,1,0
1118,뭔 개소리여 시발 ㅋㅋ 바로 전화한다음축하했는데오늘 동증1부 최고치 찍은건 아냐,1,0
1131,깝치지 말고 조용히 짜그러져 살면 안됨,0,1
1150,솔직히 방송보고 별로긴 했어요 특히 남편분은 애 아빠가 아니라 큰아들같았어요 보이는게 다는 아니겠지만 저런 시터이모 구하기 정말 힘듭니다 방송도 일도 중요하시겠지만 어린 혜정이와의 추억도 그때뿐입니다 나중에 후회하지마시구 혜정이와도 시간을 많이 보내셨음해요 방송에서 네 가족이 밝게 웃는 장면도 많았음 합니다,0,1
1159,아니 근데하라고했냐 지들이 저럴꺼알고지원한거자너,0,1
1160,나도 음모론 존나 싫어 하는데 이번 미 대선은 정말 믿을 수 없다,1,0
1174,멋있어 ㅠㅠㅠ 근데 게이아저씨 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅌㅋ,0,1
1182,죄다 빨간물 잇빠이들은 명단이네,0,1
1191,안타깝노 게이야,1,0
1192,니네 가족,0,1
1198,여자 와꾸 몸매가 어떤데,0,1
1200,판검사하면 법을 마음대로 자지보지 할수있음,0,1
1222,보이스웨어로 게이야 드립 플짤로 만듬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
1230,선진국은 필수로 진보우익이 나라를 수호한다없는 곳이 좌빨들에게 휘둘리는 후진국이더라,1,0
1240,효과 없음일베 방식으로 팩트로 승부 걸면 니가 어지간한 빡대가리가 아닌 이상 이김걔네가 배우는 역사가 워낙 왜곡돼 있기 때문에 팩트 위주의 토론에 약함,0,1
1243,수소이온농도가 존나 높으면 1인겨,1,0
1247,오 미친 나도 개빠르게 내려가서 세잎ㅍ 했ㄴ느데 옆에 라인인적 있엇ㅅ늗데,1,0
1250,저거 다 서약서 쓰고 하는건데김용호 선 존나 넘네,0,1
1264,한국에서 월클 축구선수 나온것만해도 감지덕지근데 손흥민 늙으면 ㅆㅂ 한국엔 손흥민 5분의 1 실력 되는 애들도 없다는거일본은 손흥민급은 아니더라도 해외파 로 국대 2군까지 40명 채울만큼존나 많은디,1,0
1270,난 영어교사중에 토익이 700점도 못넘는 교사들이 70에 육박한다는거에 놀랐다 얼마나 철밥통인거야 씨부레,0,1
1281,그냥 인강의 탈를 쓴 버러지라고 보면 되겠다 이기,0,1
1285,시발 내 이야기하는 줄알고 깜짝 놀랬다,0,1
1308,십팔 미쳤노,0,1
1313,준나시러 중국 존나시러시러시러시러시러,1,0
1327,그 사무엘잭슨닮은애랑 설현그룹ㅋ 염병,1,0
1328,문객 등단의 장 일베단숨에 레벨3찍는 기술보소,1,0
1340,저런새끼들이 수사권달라고 했다니 개 끔찍하다 ㄷㄷ,1,0
1369,조선시대는 한반도 역사상 최악의 시기 민도 관습 문화 건축 기술 모든것이 퇴보한 쓰레기시대,1,0
1376,견카님하 애미추에 대해서는 뭐 짖으실 말씀 없습니까,0,1
1378,여담으로 유튭 영어댓글보면 영문법 ㅈㄴ틀려도 지적하는애들은 한명도 없는데 우리나라만 유독 저럼 ㅋㅋ,0,1
1383,대리기사님이 맘단단히먹고 안봐주셧음 좋겠다우리가 윾가족을보며 느끼는 답답함을 저들도 뼈저리게 느껴보도록,0,1
1420,유입 바퀴벌레인듯,1,0
1421,드라마 보면서 진짜 서민 보기가 힘듬ㅋㅋ 솔직 진짜 서민이 부잣집 새끼들이랑 엮이기도 만무하곸ㅋㅋ,1,0
1440,대단하네 뭐라도 할 놈이다,0,1
1468,별로 없는데 사모안 미크로네시아 새끼들 많음 일본계도 많고 한국마켓 한국식당도 좀 있고 살만함,1,0
1485,아 존나 통쾌하다 주말내내 기분좋게 보낼거같다 ㅇㅂ머겅,0,1
1488,전체적으론 맞는데남부쪽은지나치게 미개하더라ㅋㅋ,0,1
1501,이거하나 사서 문재앙 쏘고싶다,0,1
1521,저거 뒷치기 야하다,0,1
1539,토니 홍저희 동네죽전 단국대 에도 타이 식당 좋은데있어요오세요제가 쏩니다,1,0
1544,판스프링도 단속하고 저런 적재방식도 추가로 단속해야지새끼야판스프링 원래 저런 방식으로 안쓰고 다른방식으로도 많이 달려있음,1,0
1553,긍정적으로 생각하자 게이야 부정적으로 생각하면 안댄다 말이 씨가 된다는 옛말이 있지 않노 그러니 일단은 축하 해주자 이기야,0,1
1568,애국게이 ㅇㅂ힘내라 이기,0,1
1586,히팔늠아 국민들 죽게만들구 개잡넘앗,1,0
1604,당신은 알고 있어요문재인씨 그사건,1,0
1624,존나 상남자 같은 연신내 출신으로 자랑스럽다,1,0
1638,김씨는 그냥 방위출신이자너 뭔 영어를 쓰고 지럴이여,0,1
1671,쥐박이는 사형에 전재산 국고회수해야지,0,1
1682,와이제 하다하다 현실합성 까지 사스가 노사모 저장소 근데 저건ㄹㅇ 개또라이네 ㅋㅋ,0,1
1685,빠르고 고통스럽게 너무 관대한거 아니냐천천히 매우고통스럽게 뒤져야지,1,0
1699,프리미어리거는 여자 만나면 안되냐 ㅋㅋㅋ 여자만나면 선구자역할 못해 여자 존나게 만나면서 공만 잘 차는 놈들도 많은데 ㅋㅋㅋㅋㅋ,1,0
1701,노무현짤 따라한거지 으이구,0,1
1705,윤석열은 요술장이임존재하지도 않는 최순실 태블릿 PC를 한대도 아니고 3대나 뚝딱하고 만들었음 특검시절윤석열이 하이에나같은 검새들과 IT 컴패니를 창업하면 눈깜빡하는사이에 태블릿PC 수만대도 만들수있음Fact임윤석열은 요술을하는 사탄임대통이되면 문쩝쩝 추한년보다 더 잔인할놈임 없는죄도 만들어내는 요술장이 윤석열,1,0
1707,나도 만나는 사람들 다 먹게 만듬첨에야 거부하는데 먹이다 보면 먹음 좋아하는 사람도 있고질싸를 못하니까 입에다 하는거임,0,1
1724,베이비 시터가 애기 돌봐주는 거지 가정부가 아니잖아요 제발ㅋㅋ 상대방 기분 생각 좀 하고 행동 해주세요 보기 안 좋아요,0,1
1737,공무원연금엔 퇴직금도 포함되어있다 븅신앜ㅋㅋㅋ5 아무것도 아닌거처럼 이야기하재9급이 20308급이 30607급 50706급부터는 최소 70부터 시작이고 기하급수적으로 늘어난다너 30년동안 매월 이만큼 국민연금에 50에서 70씩 이라도 넣느면 나중 연금으로 받는 돈이 얼마일까ㅋㅋ199만원이야 븅아넌 매월 국민연금 20만원은 내니ㅋㅋㅋ,1,0
1754,존나 자기 소신 있는 남자네,1,0
1764,저리 욕먹으면서까지 비제이하는거보니 그걸 감수하면서까지의 이익이 좋으니 하는건가 내같음 걍 때리치우고 다른거 하겟다,0,1
1779,진짜 실제로 보면서도 위화감 존나 들었던 상황이었음미국부터 바로잡고 그 다음 중공 없애고 그 다음 415 바로 잡아야함,1,0
1794,입 열기도 전에 사람 때리는 경상도 ㅋㅋ,0,1
1802,자기자식은 눈에넣어도 안아프다잖냐 아빠가 되보면안다,0,1
1807,6번 서비스로 보지늘 냅다 벌린자면,0,1
1820,ㅆㅂ 멕시칸과 16살때부터 애 몇씩 낳는 흑인들은,1,0
1826,근데 뭐 ㅅㅂ 여기서 씨부리는 뇌피셜로는 희망고문 밖에 안된다고 ㅂㅅ아,0,1
1839,좌표좀 주라 ㅇㅂ줄께,0,1
1846,부정선거 정황이 생각보다 설득력 있어보여서 의혹제기하는 건 나쁜거 아니잖아그리고 사실 미국 민주당은 잘 모르겠는데 여기 민좆당하는거 보면 괜히 거부감 들어 시발,1,0
1869,스윙스미만잡 락충들 닥ㅁㅈㅎ 21세기에는 국산힙합이 최고다 반박해봐라,0,1
1888,이젠 외국가수한테도 빠냐,0,1
1897,왤케 케바케냐ㅡㅡ30살 넘은 여자는 여자가 아니라고방청객 앞에서 직접 말 한 새끼는 저런거 없던데,1,0
1905,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 저기서 잔치 하려고 그래픽 작업 존나게 해놨을건데 어쩌나 ㅋ,1,0
1907,그런새끼는 잡아야지,1,0
1923,메르스때 슈퍼전파자는 정부라더니,1,0
1932,이런 드론 놈들 저걸 얼마,1,0
1943,멋지네 한녀 궁디좀 만진게 큰 대수냐,1,0
1952,좆설관리 의문의 조갯물샤워행,0,1
1962,씨발 저번에 백종원편에서 웃겨 뒤지는 줄 알았다 2ㅂ ㅋㅋㅋ,1,0
1976,아따 알아보는건 니가해야자 팩트말해주면 예예하고 좆잡고 반성이나해라 ㅋㅋㅋ,1,0
1980,헐 야 나 진심 치앙마이인줄 여기 가자 미친,1,0
2002,38세에 저정도면 성형 잘하고 관리 잘햇네,0,1
2017,이런새낄 밴해야 ㅍㅌㅇㅂ가 사는데,0,1
2021,난 받아야되는데 오히려 못받음 ㅅㅂ,1,0
2026,왜싸우노 게이들아싸우지마라 이기야,1,0
2036,트럼프가 이기면 별 상관없지만바이든이 이기면 전 세계가 좆될걸 ㅋㅋㅋ,1,0
2040,일본 넥플릭스 일본어 더빙 비율90한국 넷플릭스 한국어 더빙 비율20한국 넥플릭스 이용자수 적지 않음한국 넥플릭스 비용 일본 보다 높음한국 이용자 대다수가 외국 영화 드라마 시청 목적으로 넷플릭스 가입함한국 넷플릭스는 그런 한국인들 선택권 보장을 위해 한국어 더빙에 투자해야 할 돈을 동남아 지역에서 선호도가 높은 한국 종북좌파 드라마 영화 제작에 투자하고 있음넷플릭스한테도 개돼지 취급 받는 한국인들 ㅠㅠ,0,1
2075,요것봐 찌야,1,0
2097,문재앙이 기업 억압하고 간섭하는 또라이라는 건 아는데문재앙이 이건희 회장을 죽였다는 근거는 대체 뭐임,0,1
2106,10 질 하는소리 하고 자빠졌네대통령 항개 잘못 뽑아 나라가 개판이네 써글,0,1
2130,중국은 아니다 ㅂㅅ아 ㅁㅈㅎ,0,1
2142,어차피 나 태어나기고 전에 일근데 심하게 일뽕냄새나서 ㅁㅈㅎ,0,1
2143,기럭지 ㅈㄴ 우월한거보소,0,1
2145,ㅅㅂ 뭔말인가 했네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런건 그냥 좀 넘어가자 이새끼야 ㅋㅋㅋ따봉주고감,1,0
2148,자세히보니 도끼지국도 있네,1,0
2153,삼가 일 고게이의 명복을 액션빔,0,1
2187,ㅋㅋ 검열도 보지 헐대로 헐어서 느낌도없는 50대 상폐년이하겠지 같잖다 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
2191,웹서핑을 통해 다운받은 것으로 확인되며 ㅋㅋㅋㅋㅋㅋㅋ 자랑입니까 더러워 죽겠네 역겨워 올린 이가 대표라던데 페이스북에서는 말 돌리고 뭐하는 겁니까 이 사과문에도 정작 누구의 책임인지는 안 적혀 있고 본 팀으로 적혀있네 ㅋㅋㅋㅋㅋ,0,1
2204,너넨 치파오 있자나,1,0
2207,그건 모든 이루베춘들이 다 알고있는 실체라 안잡혀감노,0,1
2213,존나 우낌 아직 언변이 깔끔하기까지 하진 않지만 우낀 부분은 정말 웃김,1,0
2217,전라국 음식임 한국 음식 아님,0,1
2220,60대할배가 20대영계랑 ㅅㅅ까지하고 돈까지 받는다고진짜 개오진다,0,1
2228,ㅋㅋ 그게 왜너 같은 애들 보면 좌파같음세상은 애플이 1등인거 여전 하고삼성은 완전 몰락중인게 뻔히 판매량으로 보여지는데 ㅋㅋㅋ무슨 놈의 아직도 좆플타령 ㅋㅋㅋ현실은 대한민국 삼성포함 모든기업 합쳐도애플 시총 못이김ㅋㅋㅋ,1,0
2232,뭐한다고 재벌이 숏다리 김치녀몸매의 표본인 송혜교를 스폰하냐 ㅁㅈㅎ,0,1
2235,삼키지말라구 띨빵이야,1,0
2239,일게이들하고는 의향과는 달리이미 미하원네덜란드의회유럽의회캐나다의회등 전세계적으로 115건이 위안부결의안 의결되었음그리고 유엔 인권위도 위안부 권고가 통과되었음이미 부정하기엔 너무 확정적이어서일본정부 공식입장은 고노담화에 따른 사과인건아냐 우익들하고 정치인들이 고노담화 수정하겠다고 떠들지만수정 후폭풍이 너무 커서 못건들고 있음일본정부공식입정사과 실질적인 행동증거있냐조까,0,1
2257,이근이나 빨어,1,0
2273,이새끼는 진짜네 ㅋㅋㅋ,1,0
2288,자한당 바미당 해산이 답입니다 이적행위 세금충은 축출 척결하고 토착왜구 박멸해야만 기회주의자들이 사라질거라 확신합니다,0,1
2289,ㅇㅂ고담2야 이거 지우지마라 ㅆ바꺼,0,1
2313,너네가 무슨 사회에 적응을 해 매장을 당해라,0,1
2317,단백질 보충제 미숫가루 때문에 우유 존나 사다 쳐먹는데노무 비싸다 ㅠㅠ,1,0
2329,당연히 적응 못하지 누가 전과자 니들하고 일하고 직원 쓰겠냐 그냥 살다 나와서 조용 히 죽어,0,1
2331,문재앙 정권과 415부정선거를 겪고 나니전두환이 대천사 미카엘 엔젤 두환이라는 사실을 알게 됨,0,1
2337,개굴개굴 하핫,1,0
2344,낳든 말든 뭔상관이야 지들 인생이나 잘살지,0,1
2360,ㅋㅋㅋ 태극기 구울새끼 가세연이나 보고 딸이나쳐라,1,0
2362,채노박은 없노,0,1
2381,통째로 자연나무 기둥으로 쓰는건 대담해보이긴 하네 건조같은거 제대로 될리가 없긴하다만,1,0
